code,points,name,group,subgroup
67026B,11927,空洞成形術 Cavernostomy 註：球取出術比照申報。,第七節,氣管、支氣管、細支氣管異物除去術
67027B,22823,支氣管瘻管閉鎖術 Close of bronchial fistula,第七節,氣管、支氣管、細支氣管異物除去術
67028B,24682,肺合併臟器切除 Combined resection of lung cancer,第七節,氣管、支氣管、細支氣管異物除去術
67029B,29531,肺袖式切除 Sleeve resection,第七節,氣管、支氣管、細支氣管異物除去術
67030B,3186,重次開胸手術,第七節,氣管、支氣管、細支氣管異物除去術
67031B,14537,門脈減壓術 Surgery of portal hypertension,第七節,氣管、支氣管、細支氣管異物除去術
67032B,22534,－開胸術by exploration,第七節,氣管、支氣管、細支氣管異物除去術
67033B,24905,支氣管鏡併做腫瘤切(摘)除 Bronchoscopic excision/removal of tumor 註：含一般材料費及特殊材料費。,第七節,氣管、支氣管、細支氣管異物除去術
67034B,9199,胸膜固定(黏合)術 Pleurodesis,第七節,氣管、支氣管、細支氣管異物除去術
67035B,8535,肺膿瘍切開術,第七節,氣管、支氣管、細支氣管異物除去術
67036B,28104,先天性凹凸胸矯正術 Reconstruction of congenital funnel or pigeon chest,第七節,氣管、支氣管、細支氣管異物除去術
67037B,2779,支氣管內擴張術 Endobronchial dilatation 註：適應症 (1)不適雷射治療之氣管支氣管狹窄。 (2)不適冷凍治療之氣管支氣管狹窄。 (3)不適放置支架治療之氣管支氣管狹窄。 (4)於施行局部放射治療前之先前擴張。 (5)於放置支架前之先前擴張。 (6)支架發生阻塞之擴張。,第七節,氣管、支氣管、細支氣管異物除去術
67038B,15316,胸壁切除術(十公分以上) Chest wall resection≧10cm 註： 1.胸壁切除至少應含蓋二個以上不同之組織(如骨骼、肌肉等)。 2.胸骨部分切除術(十公分以上)比照申報。,第七節,內視鏡功能鼻竇手術
67039B,22462,"惡性腫瘤胸壁切除 Wide excision of malignant chest wall diseases 註：胸壁切除至少應含蓋二個以上不同之組織(如骨骼,肌肉等)。",第七節,內視鏡功能鼻竇手術
67040B,18226,廣泛性胸腺切除 Extensive thymectomy,第七節,內視鏡功能鼻竇手術
67041B,8422,複雜胸廓擴創術 十公分以上 Complicated debridement of chest wall≧10cm 註：包括傷口縫合 including wound closure。,第七節,內視鏡功能鼻竇手術
67042B,27700,二葉肺葉切除 Bilobectomy,第七節,氣管、支氣管、細支氣管異物除去術
67043B,19816,簡單凹凸胸矯正術 (小於六根) Reconstruction of congenital funnel or pigeon chest 註：年齡未滿十七歲。,第七節,氣管、支氣管、細支氣管異物除去術
67044B,26819,複雜凹凸胸矯正術 (六根以上) Complicated correction of chest wall deformity 註：年齡未滿十七歲。,第七節,氣管、支氣管、細支氣管異物除去術
67045B,22494,成人凹凸胸矯正術 Correction of adult chest wall deformity,第七節,氣管、支氣管、細支氣管異物除去術
67046C,9954,氣管內腔置管術 Tracheal stent intubation,第七節,氣管、支氣管、細支氣管異物除去術
67047B,28705,胸腔鏡肺膜剝脫術 Thoracoscopic Decortication of Pleura,第七節,氣管、支氣管、細支氣管異物除去術
67048B,11039,胸腔鏡肋膜黏合術 Thoracoscopic Pleurodesis,第七節,氣管、支氣管、細支氣管異物除去術
67049B,54210,胸腔鏡全肺切除術 Thoracoscopic Pneumonectomy 註：包括肺膜剝脫術在內,第七節,氣管、支氣管、細支氣管異物除去術
67050B,41752,胸腔鏡肺葉切除術 Thoracoscopic Lobectomy,第七節,氣管、支氣管、細支氣管異物除去術
67051B,25404,胸腔鏡肺楔狀或部分切除術 Thoracoscopic wedge or Partial resection of the Lung,第七節,氣管、支氣管、細支氣管異物除去術
67052B,25199,胸腔鏡胸管結紮術 VATS with thoracic duct ligation 註：含一般材料費，得另加計百分之三十二。,第七節,氣管、支氣管、細支氣管異物除去術
67053B,57344,胸腔鏡肺分葉切除術 Thoracoscopic segmentectomy of lung 註： 1.適應症： (1)早期侷限性肺癌 stage I。 (2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術 者。 (3)具合併症且內科治療無效之感染性疾病。 2.含一般材料費，得另加計百分之十一。 3.執行「機械手臂輔助肺分葉切除術」，須符合下列規範： (1)醫師資格： A.具機械手臂輔助手術系統「胸腔心臟科」認證學會認證醫 師資格。 B.前述核發認證單位應檢附認證計畫書(須檢附訓練課程、認 證方式及認證培訓機構證明)予保險人審核通過。 (2)執行手術之醫師名單應報經保險人核定。 (3)其手術費按保險人規範之未列項申報方式辦理，比照本項申,第七節,氣管、支氣管、細支氣管異物除去術
67054B,58517,胸腔鏡肺葉袖形切除術 Thoracoscopic sleeve lobectomy 註： 1.適應症 (1)肺癌病人腫瘤侵犯支氣管分岐處又不適合作全肺葉切除術的 病人。 (2)良性腫瘤侵犯肺葉分歧處欲切除有病變之肺葉而保留功能正 常之肺葉。 2.含一般材料費，得另加計百分之四。,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
67055B,14930,納氏胸廓異常矯正術 Nuss Procedure for chest wall deformity 1.適應症： (1)Haller index 或CT index > 3.25。 (2)有呼吸功能障礙，慢性支氣管炎，或肺纖維化病變者。 (3)併有心理影響，經精神科醫師評估有矯治之需要者。,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68001B,11510,探查性心包膜切開術 Pericardiotomy with exploration v,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68002B,1405,心包膜穿刺放液術 Pericardiocentesis v,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68003B,26188,心包膜切除術 Pericardiectomy v,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68005B,18691,心臟縫補術 Cardiorrhaphy for heart wound or injury v,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68006B,20898,探查性開心術：包括移除異物 Exploratory cardiotomy including removal of foreign body 註：有（無）繞道之手術費用一致。 v,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68007B,22390,"人工A.S.D. Blalock-Hanlon 法 Creation of atrial septal defect, Blalock-Hanlon type, closed v",第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68008B,15540,"人工A.S.D. Rashkind 法 Creation, atrial-septal-defect Rashkind type, including-cardiac catheterization 註：經靜脈或氣球法(transvenous or balloon method)。 v",第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68009B,25013,人工 A.S.D.血流進口阻斷法 Creation of A.S.D. with inflow occlusion v,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68010B,29099,心內腫瘤切除及繞道手術 Excision of tumor intracardiac v,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68011B,15190,經胸切開術裝置或置換永久性心內節律器及心肌電極 Insertion or replacement of permanent internal pacemaker & myocardial electrodes by thoracotomy v,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68012B,5484,插入或置換永久性節律器—單導線 Insertion or replacement of permanent pacemaker —Single electrode catheter v,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68013B,4610,"經靜脈插入暫時性電極 Temporary insertion, transvenous electrode v",第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68015B,46285,瓣膜成形術 Valvular and/or annuloplasty v,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68016B,52377,主動脈瓣或二尖瓣或三尖瓣之置換手術 Single valve replacement v,第七節,計百分之一百三十申報，並於申報費用後二個月內應上傳手術
68017B,58738,兩個瓣膜換置 Double valves replacement v,第七節,計百分之一百三十申報，並於申報費用後二個月內應上傳手術
68018B,69541,三個瓣膜換置 Triple valves replacement v,第七節,計百分之一百三十申報，並於申報費用後二個月內應上傳手術
68019B,43671,"心室動脈瘤之修補 Repair, ventricular aneurysm 註：有（無）繞道之手術費用一致。 v",第七節,計百分之一百三十申報，並於申報費用後二個月內應上傳手術
68020B,26388,"A.S.D.修補 Repair, atrial septal defect, secundum v",第七節,計百分之一百三十申報，並於申報費用後二個月內應上傳手術
68021B,36035,"心內膜墊缺陷之修補手術 Repair, endocardial cushion defect v",第七節,計百分之一百三十申報，並於申報費用後二個月內應上傳手術
68022B,36604,"Valsalva-sinus 瘻管之修補手術 Repair, fistula sinus of valsalva v",第七節,計百分之一百三十申報，並於申報費用後二個月內應上傳手術
68023B,44014,－ 一條血管 one vessel v,第七節,冠狀動脈繞道手術
68024B,54161,－ 二條血管 two vessels v,第七節,冠狀動脈繞道手術
68025B,60603,－ 三條血管 three vessels v,第七節,冠狀動脈繞道手術
68026B,45692,"腔靜脈回流右心房異常之修補手術 Repair, anomalous venous return total or partial v",第七節,冠狀動脈繞道手術
68027B,36888,室中隔缺損(VSD)修補手術 Repair ventricular septal defect v,第七節,冠狀動脈繞道手術
68028B,54884,四合群症之修補(T.F) Repair tetralogy of Fallot v,第七節,冠狀動脈繞道手術
68029B,26505,二尖瓣擴張術 Closed mitral or open mitral commissurotomy 註：肺動脈瓣狹窄擴張術 (pulmonary valve commissurotomy)比照 申報。 v,第七節,冠狀動脈繞道手術
68030B,6050,心內膜切片 Endocardium biopsy v,第七節,冠狀動脈繞道手術
68031B,6342,心外膜切片 Epicardium biopsy v,第七節,冠狀動脈繞道手術
68032B,60105,主動脈轉位症手術 v,第七節,冠狀動脈繞道手術
68034B,21166,心臟摘取 Heart procurement v,第七節,冠狀動脈繞道手術
68035B,183312,心臟植入 Heart implantation 註： 1.施行診療項目68034B、68035B 手術之醫院及醫師條件如下： (1)醫院條件： A.須為「中華民國心臟醫學會」及「台灣胸腔及心臟血管外 科學會」所認定之專科醫師訓練醫院。 B.應有專任具臨床藥理、病理、移植免疫、感染症及血液學 專長之醫師。 (2)醫師條件： 手術主持醫師須有主持開心手術五百例以上之經驗。 2.施行診療項目68035B之適應症如下，並應由醫院申報事前審查： (1)心臟衰竭且Maximal VO2<10ml /kg/min者。 (2) 心臟衰竭達紐約心臟功能第四度，且Maximal VO2<14ml/kg/min者。,第七節,冠狀動脈繞道手術
68036B,19910,"體外循環維生系統(ECMO)建立(第一次) Extracorporeal circulation – first time 1.使用之適應症如下： (1)心因性休克 A.心臟手術重建後，暫時性心臟功能障礙(Stunned heart)。 B.Bridge：為準備心臟手術或心室輔助器或心臟移植，而暫 代心臟功能。 C.可回復性的心肌病變 D.肺栓塞(Pulmonary embolism) E.急性心肌梗塞併心因性休克。 F.其他心因性休克。 (2)呼吸性衰竭 A.FiO2：1.0,PaO2＜60mmHg，己排除可逆轉之原因。 B.CO2 retention，造成血行動力學不穩，已排除可逆轉之原 因。",第七節,冠狀動脈繞道手術
68037B,178634,－單肺 Unilateral lung v,第七節,冠狀動脈繞道手術
68038B,18658,肺臟摘取 Lung harvest (donor pneumonectomy) v,第七節,冠狀動脈繞道手術
68039B,36474,四合群症之繞道手術 B-T shunt of TF v,第七節,6.肺臟捐贈者若為非保險對象，捐贈者摘取所需之檢驗費、手術
68040B,96975,經導管主動脈瓣膜置換術 Transcatheter Aortic Valve Implantation(TAVI) 註： 1. 適應症： (1)嚴重主動脈狹窄病人須全部具備下列四項條件： A.有New York Heart Association Function Class II-IV 之心衰 竭症狀。 B.以心臟超音波測量主動脈開口面積＜0.8c㎡、＜0.6c㎡/ ㎡、經主動脈瓣平均壓力差≧ 40mmHg或主動脈瓣血流流 速≧4.0m/sec。 C.必須至少二位心臟外科專科醫師判定無法以傳統開心手 術進行主動脈瓣膜置換或開刀危險性過高。 D.臨床判定病人至少有一年以上之存活機率。 (2)嚴重主動脈人工生物瓣膜損壞病人，須全部具備下列四項必,第七節,6.肺臟捐贈者若為非保險對象，捐贈者摘取所需之檢驗費、手術
68041B,7174,插入或置換永久性節律器—多導線 Insertion or replacement of permanent pacemaker —Multiple electrode catheters v,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
68042B,48742,右心室至肺動脈心導管連接術(萊斯特利術式) （Rastelli operation） 註： 1.適應症：法洛氏四合症、肺動脈發育不全合併心室中膈缺損、 v,第七節,6.肺臟捐贈者若為非保險對象，捐贈者摘取所需之檢驗費、手術
68043B,86451,A型急性主動脈剝離術 Surgery for A type aortic dissection 註： 1.一般材料費，得加計百分之十一。 2.不得同時申報編號68015B(係指主動脈瓣膜)、69024B、69036B。 v,第七節,6.肺臟捐贈者若為非保險對象，捐贈者摘取所需之檢驗費、手術
68047B,246516,－雙肺，連續性或同時性 bilateral sequential or en bloc double lung 註： 1.68037B、68047B及68038B手術之醫院及醫師條件應報請中央衛 生主管機關核定，如醫院條件變更或主持醫師異動時，仍應重 行報請核定。 2.施行68037B及68047B之適應症如下，並應由醫院申報事前審查： (1) Group A 阻塞性肺疾病 (Obstructive Lung Disease) ：符合肺 移植適應症之診斷並符合下列任一條件者： A.第一秒最大呼氣量(FEV1.0) < 35 % 預測值。 B.氧合指數(PaO₂/FiO₂ ratio)<300。,第七節,冠狀動脈繞道手術
68048B,5686,經皮穿腔心臟中膈肌切除術 Percutaneous transluminal septal myocardial ablation 註：適應症： (1)阻塞型肥厚性心肌病變合併心衰竭症狀達第三級(含)以 上，並對藥物治療反應不良。 (2)左心室出口通道壓力差達三十毫米汞柱(休息狀態)，或經 藥物刺激/心室期外收縮後達六十毫米汞柱以上。 (3)左心室中膈壁厚度達十五毫米汞柱以上。 v,第七節,6.肺臟捐贈者若為非保險對象，捐贈者摘取所需之檢驗費、手術
68049B,20720,胸腔鏡心包膜開窗術 Thoracoscopic Pericardial Window v,第七節,6.肺臟捐贈者若為非保險對象，捐贈者摘取所需之檢驗費、手術
68050B,27272,心房切割隔間之不整脈手術 Arrhythmia surgery via atriotomy 註： 1.適應症： (1)心房振顫有栓子之年輕病人不能口服抗凝劑者。 (2)瓣膜性心臟病病人同時伴有慢性心房振顫，尤其接受瓣成型 術或組織瓣置換者。 (3)口服抗凝劑下尚再發血栓塞症者。 (4)冠心病手術同時併有持續性心房振顫者。 (5)對左心房衰竭選擇性手術能改變心臟功能者。 (6)對內科藥物及燒灼術無效之心房振顫者。 2.執行「機械手臂輔助心房切割隔間之不整脈手術」，須符合下列 規範： (1)適應症：低風險之心房顫動心臟病病人，且 STS Score≦3%。 (2)醫院條件： v,第七節,6.肺臟捐贈者若為非保險對象，捐贈者摘取所需之檢驗費、手術
68051B,91656,心室輔助裝置植入 Ventricular Assist System implantation 註： 1.適應症： (1)心臟衰竭且Maximal VO2<10ml /kg/min者。 (2) 心臟衰竭達紐約心臟功能第四度，且Maximal VO2<14ml/kg/min者。 (3)心臟衰竭核醫檢查LVEF<20%，經六個月以上藥物(包括ACE inhibitors、Digoxin、Diuretics等)治療仍無法改善者；如有重 度二尖瓣閉鎖不全，經核醫檢查LVEF<25%者。 (4)嚴重心肌缺血，核醫檢查LVEF<20%，經核醫心肌灌注掃描 及心導管等檢查，證實無法以傳統冠狀動脈繞道手術治療者。,第七節,B.醫院每年需具二十五例以上之心房切割隔間之不整脈手術
68052B,11505,「體外心肺循環」(Cardiopulmonary bypass) 註： 1.適應症如下： a.神經外科手術需體外循環者，例如基底動脈瘤手術。 b.肺臟移植及肺臟手術須體外循環時。 c.心血管手術需體外循環者。 d.氣道手術（Airway surgery）。 2.本項不適用本節通則第六、七條規定。 3.病患第一次使用體外循環維生系統以本項申報，若病情需要延 長使用而更換系統管線，則以47089B申報。 v,第七節,冠狀動脈繞道手術
68053B,82610,－ 四條血管 four vessels v,第七節,冠狀動脈繞道手術
68054B,87684,－ 五條血管 five vessels v,第七節,冠狀動脈繞道手術
68055B,90905,－ 六條血管 six vessels v,第七節,冠狀動脈繞道手術
68056B,67684,心房-肺動脈迴路成形術 Fontan operation v,第七節,冠狀動脈繞道手術
68057B,98957,"經導管肺動脈瓣膜置換術 Transcatheter pulmonary valve implantation ,TPVI 註： 1.適應症：須符合下列四項條件。 (1)法洛氏四重症手術後或主動脈瓣狹窄接受Ross 術後，發生肺 動脈瓣嚴重逆流，造成右心室擴大，或有心衰竭症狀者。 (2)以磁振造影MRI 檢查(至少具備以下任三項條件)： A.肺動脈瓣逆流指數(Pulmonary Regurgitation Index fraction v",第七節,6.肺臟捐贈者若為非保險對象，捐贈者摘取所需之檢驗費、手術
68058B,106339,尾崎式手術（主動脈瓣之自體/人工心包膜新瓣葉重建手術） Ozaki procedure: Aortic Valve Neocuspidization with Glutaraldehyde-treated Autologous Pericardium v,第七節,B.醫院每年需具二十五例以上之心房切割隔間之不整脈手術
68059B,146634,尾崎式手術（主動脈瓣之自體/人工心包膜新瓣葉重建手術）-包含 心臟瓣膜彌補物尺寸器 Ozaki procedure: Aortic Valve Neocuspidization with Glutaraldehyde-treated Autologous Pericardium-with Ozaki AVNeo Sizer v,第七節,B.醫院每年需具二十五例以上之心房切割隔間之不整脈手術
68060B,99428,經導管二尖瓣緣對緣修補術 Transcatheter edge-to-edge Mitral valve repair 1.適應症： (1)顯著症狀之重度二尖瓣逆流（經超音波檢查須符合下列任一 條件：Central jet MR >40% LA or holosystolic eccentric jet MR/Vena contracta ≧0.7cm/Regurgitant volume ≧60 mL/Regurgitant fraction≧50%/ERO≧0.40cm2），且符合下列 任一適應症： v,第七節,B.醫院每年需具二十五例以上之心房切割隔間之不整脈手術
69001B,7014,"動脈栓塞物切除術 Embolectomy, arterial",第七節,D. 心臟外科醫師須具二十例以上二尖瓣膜手術
69002B,7014,"經動脈導管之栓塞物切除術 Embolectomy, arterial catheter",第七節,D. 心臟外科醫師須具二十例以上二尖瓣膜手術
69003B,7014,"靜脈血栓切除術 Thrombectomy, venous",第七節,D. 心臟外科醫師須具二十例以上二尖瓣膜手術
69004B,16820,動脈內膜切除術 Arterial endarterectomy with or without bypass graft 註：併或不併行繞道移植。,第七節,D. 心臟外科醫師須具二十例以上二尖瓣膜手術
69005B,5055,"血管探查 Exploration, vascular 註：如併行手術，按各該手術項目申報。",第七節,D. 心臟外科醫師須具二十例以上二尖瓣膜手術
69006C,1360,"血液透析用之血管插管（自靜脈到靜脈） Insertion cannula for hemodialysis or other purpose, vein to vein",第七節,D. 心臟外科醫師須具二十例以上二尖瓣膜手術
69007B,2910,"動靜脈之血管插管：Scribner型 Insertion cannula arterio-venous, external scribner type 註： 1.包括A-V shunt。 2.Gimino型血管插管(Gimino type A-V cannula insertion)比照申 報。",第七節,D. 心臟外科醫師須具二十例以上二尖瓣膜手術
69008B,9949,血管吻合術 Anastomosis of blood vessel 註：本項係指主動脈或主靜脈之吻合。,第七節,D. 心臟外科醫師須具二十例以上二尖瓣膜手術
69009B,9612,動脈縫合 Arteriorrhaphy 註： 1.本項係指主動脈之縫合。 2.靜脈縫合比照申報。,第七節,D. 心臟外科醫師須具二十例以上二尖瓣膜手術
69010B,5077,"頸動脈之結紮 Ligation external, carotid artery",第七節,D. 心臟外科醫師須具二十例以上二尖瓣膜手術
69011B,5560,"股靜脈結紮 Ligation, femoral vein",第七節,D. 心臟外科醫師須具二十例以上二尖瓣膜手術
69012B,16829,"下腹動脈結紮後分離（用於產後大出血或骨盆出血） Hypogastric artery ligation related to postpartum hemorrhage or uncontrolled bleeding of pelvis 註：骼靜脈的結紮與分離 Ligation and/or division of common iliac vein 及內腸骨動脈結紮 Ligation of hypogastric artery unilateral or bilateral,比照申報。",第七節,D. 心臟外科醫師須具二十例以上二尖瓣膜手術
69013B,5461,長隱靜脈於隱－股交接處的結紮和分離 Ligation & division of long saphenous vein at sapheno-femoral junction,第七節,vein 及內腸骨動脈結紮
69014B,5787,－單側 unilateral,第七節,vein 及內腸骨動脈結紮
69015B,8155,－雙側 bilateral,第七節,vein 及內腸骨動脈結紮
69016B,7109,－單側 unilateral,第七節,vein 及內腸骨動脈結紮
69017B,8295,－雙側 bilateral,第七節,vein 及內腸骨動脈結紮
69018B,4844,頸靜脈結紮 Ligation of jugular venous,第七節,vein 及內腸骨動脈結紮
69019B,8238,"根除性筋膜下剝出(如Luinton法)有或無皮膚移植 Stripping, subfascial, radical as Linton type with or without skin graft",第七節,vein 及內腸骨動脈結紮
69020B,4567,小隱靜脈在隱－膝膕靜脈交接處的結紮和分離 Ligation and division of short saphenous vein at sapheno- popliteal junction,第七節,vein 及內腸骨動脈結紮
69021C,3371,"其他小靜脈曲張之縫合，結紮或剝除 Suture, ligation or stripping of minor varicose vein",第七節,vein 及內腸骨動脈結紮
69022B,21568,"肺動脈栓塞切除術 Embolectomy, pulmonary artery",第七節,vein 及內腸骨動脈結紮
69023B,13113,"頸 (肢體)動靜瘻管之切除移植及直接修補，右繞道手術 Excision and graft bypass or direct repair of A-V fistula, neck or extremity 註：動脈瘤切除(aneurysm excision)比照申報。",第七節,vein 及內腸骨動脈結紮
69024B,33678,—升主動脈,第七節,胸（腹）部動靜瘻管之切除移植及直接修補手術
69025B,23080,肺動脈結紮 Pulmonary artery banding,第七節,胸（腹）部動靜瘻管之切除移植及直接修補手術
69026B,28201,主動脈－肺動脈開窗之修補手術 Repair aorto-pulmonary window 註：主動脈弓畸型 (Repair aortic arch anomalies as vascular ring) 比照申報。,第七節,胸（腹）部動靜瘻管之切除移植及直接修補手術
69027B,22135,主動脈狹窄之修補 Repair coarctation aorta,第七節,胸（腹）部動靜瘻管之切除移植及直接修補手術
69028B,13556,"頸動脈體瘤切除術 Excision tumor, carotid body",第七節,胸（腹）部動靜瘻管之切除移植及直接修補手術
69029B,5610,－頸部 neck,第七節,術後出血或栓塞探查術
69030B,4820,－胸部 chest,第七節,術後出血或栓塞探查術
69031B,16016,存開性動脈導管手術 Surgical obliteration for PDA,第七節,術後出血或栓塞探查術
69032C,6506,末稍血管修補及吻合術 Repair and anastomosis of peripheral vessel 註：動靜脈瘻管成形術(A-V fistula)比照申報。,第七節,術後出血或栓塞探查術
69033B,26812,肺動脈瓣氣球擴張術 Balloon pulmonary valvuloplasty,第七節,術後出血或栓塞探查術
69034C,9354,動靜脈造瘻術合併人工血管使用(兩處吻合) A-V shunt with goretex graft,第七節,術後出血或栓塞探查術
69035B,67242,主動脈根部術（含主動脈瓣置換或保留）,第七節,術後出血或栓塞探查術
69036B,40956,—主動脈弓,第七節,胸（腹）部動靜瘻管之切除移植及直接修補手術
69037B,35926,—降主動脈,第七節,胸（腹）部動靜瘻管之切除移植及直接修補手術
69038C,8374,末稍血管修補及吻合術併血管移植 Repair or anastomosis of peripheral vessel with graft,第七節,術後出血或栓塞探查術
69039B,7449,內頸靜脈切開，永久導管放置術 Permanent Catheter implantation through internal jugular vein,第七節,術後出血或栓塞探查術
69040B,8804,子宮動脈結紮與分離 uterine artery ligation,第七節,vein 及內腸骨動脈結紮
69041B,23272,開放性周邊動靜脈血管繞道手術-使用人工血管 Open vascular bypass grafting with synthetic graft,第七節,術後出血或栓塞探查術
69042B,31028,— 一條血管繞道 single bypass grafting,第七節,術後出血或栓塞探查術
69043B,40724,— 兩條以上血管繞道multiple bypass grafting,第七節,術後出血或栓塞探查術
70001B,18425,脾臟切除術 Splenectomy,第七節,術後出血或栓塞探查術
70002B,13379,脾臟修補術 Splenorrhaphy,第七節,術後出血或栓塞探查術
70003B,13414,部份脾切除術 Partial splenectomy,第七節,術後出血或栓塞探查術
70004B,6410,自體脾再植 Auto-implantation of spleen,第七節,術後出血或栓塞探查術
70005B,11910,脾腎靜脈分流術（包含脾摘除） Splenorenal shunt (including splenectomy),第七節,術後出血或栓塞探查術
70006B,22108,腹腔鏡脾切除術 Laparoscopic Splenectomy,第七節,術後出血或栓塞探查術
70201C,530,淋巴腺活體切片 Biopsy lymphnode,第七節,術後出血或栓塞探查術
70202C,732,－ 淺部 superficial,第七節,術後出血或栓塞探查術
70203B,1812,－ 深部 deep,第七節,術後出血或栓塞探查術
70204B,3535,腋下淋巴腺腫切除術 Removal of axillary lymphnode 註：頸淋巴腺腫切除(remove of cervicle lymphnode)比照。,第七節,術後出血或栓塞探查術
70205B,13515,標準腋下淋巴廓清術 Axillary lymph node dissection 註： 1.適應症：惡性乳癌、黑色素瘤及鱗狀上皮細胞癌。 2.一般材料費，得另加計百分之四十一。,第七節,術後出血或栓塞探查術
70206C,2267,腹股溝淋巴腺腫切除術 Excision of inguinal lymphnode,第七節,術後出血或栓塞探查術
70207B,7795,腹股溝淋巴腺腫根治清除術 Radical inguinal lymphnode dissection,第七節,術後出血或栓塞探查術
70208B,20771,骨盆腔淋巴腺切除術 Pelvic lymphadenectomy,第七節,術後出血或栓塞探查術
70209B,18059,後腹膜腔淋巴腺切除術 Retroperitoneal lymphadenectomy 註：主動脈旁淋巴切除術(paraaortic lymph node dissection)比照申 報。,第七節,術後出血或栓塞探查術
70210B,11116,－ Unilateral 單側,第七節,髖鼠蹊部淋巴根除術
70211B,16038,－ Bilateral 雙側,第七節,髖鼠蹊部淋巴根除術
70212B,6110,淋巴囊腫去除術 Lymphocelectomy,第七節,髖鼠蹊部淋巴根除術
70213B,14559,根除性淋巴切除術(肺葉切除或全肺切除時),第七節,髖鼠蹊部淋巴根除術
70214B,11784,縱膈腔或胸腔內淋巴根除術 Mediastinal or thoacic L.N. dissections,第七節,術後出血或栓塞探查術
70215B,31780,腹腔鏡骨盆腔淋巴腺切除術 Laparoscopic pelvic lymphadenectomy,第七節,術後出血或栓塞探查術
70216B,22574,腹腔鏡後腹膜腔淋巴腺切除術 Laparoscopic retroperitoneal lymphadenectomy 註：腹腔鏡主動脈旁淋巴腺切除術(Laparoscopic paraaortic lymphadenectomy)比照申報,第七節,術後出血或栓塞探查術
70401B,16389,良性簡單縱膈腔腫瘤切除(小於五公分) Benign mediastinal mass excision (< 5cm),第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
70402B,11014,縱膈膜切開術 Mediastinotomy,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
70403B,10602,"由胸部穿過肋膜進入取出異物 Removal of foreign body, mediastinum transthoracic,intercostal approach",第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
70404B,12145,橫膈摺疊術 Diaphragmatic fundo-plication,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
70405B,20876,經由腹腔之橫膈赫尼亞之修補 Repair of diaphragmatic hernia trans-abdominal,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
70406B,17654,經胸廓進入橫膈赫尼亞之修補 Repair of diaphragmatic hernia transthoracic,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
70407B,15781,外傷性急性橫膈赫尼亞之修補 Repair of acute traumatic Diaphragmentic hernia 註：不分術式。,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
70408B,6347,"由頸部進入縱膈腔切開術合併探查或引流 Mediastinotomy with exploration or drainage,cervical approach",第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
70409B,11278,由胸部進入縱膈腔切開術合併探查或引流 Mediastinotomy with exploration or drainage transthoracic intercostal apporach,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
70410B,11730,由胸骨切開進入縱膈腔切開術合併探查或引流 Mediastinotomy with exploration or drainage by sternal split,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
70411B,5382,"由頸部進入取出異物 Removal foreign body of mediastinum,cervical of approach",第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
70412B,11403,由胸骨切開進入取出異物 Removal of foreign body mediastinum by sternal split,第七節,(2)肺單元分葉內之癌症且心肺功能不佳者，不適合肺葉切除術
